topic,category,level,explanation,example,key_points
"一般现在时","时态","四级","表示经常性、习惯性的动作或状态。主语为第三人称单数时动词加 -s/-es。I/You/We/They + 动词原形；He/She/It + 动词三单形式。","She reads English every morning. 她每天早上读英语。","频率副词 always/usually/often/sometimes/never 常与一般现在时连用"
"一般过去时","时态","四级","表示过去某个时间发生的动作或状态。规则动词加 -ed，不规则动词需单独记忆。","I visited the museum yesterday. 我昨天参观了博物馆。","过去时间状语 yesterday/last week/ago/in 2020 标志一般过去时"
"一般将来时","时态","四级","表示将来要发生的动作。will + 动词原形；be going to + 动词原形。will 表示临时决定或预测，be going to 表示计划或迹象。","I will study abroad next year. 我明年将出国留学。","next week/tomorrow/in the future 等时间状语"
"现在进行时","时态","四级","表示正在进行的动作。am/is/are + 动词现在分词(-ing)。","She is preparing for the CET-4 exam. 她正在准备四级考试。","注意：状态动词如 know/like/believe 通常不用进行时"
"过去进行时","时态","四级","表示过去某个时刻正在进行的动作。was/were + 动词现在分词(-ing)。","I was reading when he called. 他打电话时我正在读书。","常与 when/while 引导的时间状语从句连用"
"现在完成时","时态","四级","表示过去发生的动作对现在有影响或持续到现在。have/has + 过去分词。","I have learned 2000 English words. 我已经学了2000个英语单词。","与一般过去时的区别：现在完成时强调对现在的影响；标志词 since/for/already/yet/ever/never"
"过去完成时","时态","六级","表示过去某个时间之前已经完成的动作。had + 过去分词。","By the time I arrived, the class had already started. 我到的时候课已经开始了。","常与 by the time/before/after 连用"
"现在完成进行时","时态","六级","表示从过去开始一直持续到现在，可能还会继续。have/has been + 现在分词。","I have been learning English for 3 years. 我已经学了三年英语了。","强调动作的持续性"
"被动语态","语态","四级","动作的承受者作主语。基本结构：be + 过去分词。不同时态的被动语态通过 be 动词变化体现。","English is spoken all over the world. 全世界都说英语。","动作执行者不重要或不知道时用被动；by + 施动者"
"虚拟语气(条件句)","语气","六级","表示与事实相反的假设。与现在相反：If I were you, I would study harder. 与过去相反：If I had studied harder, I would have passed the exam. 与将来相反：If it should rain tomorrow, I would stay home.","If I were you, I would practice speaking every day. 如果我是你，我会每天练习口语。","were 用于所有人称；would/could/might + 动词原形；混合虚拟语气"
"虚拟语气(名词性从句)","语气","六级","在表示建议、命令、要求的动词后的 that 从句中用 (should) + 动词原形。常见动词：suggest/recommend/insist/demand/require。","I suggest that he (should) memorize more words. 我建议他多记单词。","should 可省略；注意 insist 表示"坚持认为"时不用虚拟"
