word,part_of_speech,phonetic,definition,example,synonyms,antonyms,usage_notes,audio_url,image_url,level
abundant,adjective,/əˈbʌndənt/,大量存在,,,scarce,,,,托福雅思词汇
accurate,adjective,/ˈækjərət/,完全符合事实或标准，或执行时达到百分之百的准确性。,an accurate reproduction,exact;precise,inaccurate,,,,托福雅思词汇
accustomed,adjective,/əˈkʌstəmd/,常用或惯用,usual,customary;habitual;wonted,unaccustomed,,,,托福雅思词汇
active,adjective,/ˈæktɪv/,,engaged in or ready for military or naval operations,dynamic,inactive;passive;quiet;stative;extinct;dormant,,,,托福雅思词汇
adequate,adjective,/ˈædɪkwət/,具备完成任务所需的素质或资源,she had adequate training,decent;enough;passable;fair to middling;tolerable,inadequate,,,,托福雅思词汇
adequate,adjective,/ˈædɪkwət/,足以满足目的,an adequate income,decent;enough;passable;fair to middling;tolerable,inadequate,,,,托福雅思词汇
adjacent,adjective,/əˈdʒeɪsənt/,空间或位置上最接近,immediately adjoining without intervening space,next;side by side;conterminous;contiguous;neighboring,,,,,托福雅思词汇
adjacent,adjective,/əˈdʒeɪsənt/,有共同边界或边缘,abutting,next;side by side;conterminous;contiguous;neighboring,,,,,托福雅思词汇
aggressive,adjective,/əˈɡrɛsɪv/,有决心并积极追求目标,an aggressive businessman,fast-growing;strong-growing;belligerent,unaggressive,,,,托福雅思词汇
amateur,adjective,/ˈæmətə/,作为消遣活动,an amateur painter,recreational;unpaid;amateurish;inexpert;unskilled,,,,,托福雅思词汇
ambiguous,adjective,/æmˈbɪɡjuəs/,,having no intrinsic or objective meaning,equivocal,unequivocal;unambiguous,,,,托福雅思词汇
ample,adjective,/ˈæmpəl/,提供充足供应,had ample food for the party,copious;plenteous;plentiful;rich;sizable;sizeable,meager,,,,托福雅思词汇
arbitrary,adjective,/ˈɑːbɪtrəri/,基于或取决于个人判断、偏好，有时甚至是冲动或任性。,an arbitrary decision,,nonarbitrary,,,,托福雅思词汇
arduous,adjective,/ˈɑːdʒuəs/,竭尽全力,especially physical effort,backbreaking;grueling;gruelling;hard;heavy;laborious;operose;punishing;toilsome;straining;strenuous,,,,,托福雅思词汇
arduous,adjective,/ˈɑːdʒuəs/,竭尽全力,testing powers of endurance,backbreaking;grueling;gruelling;hard;heavy;laborious;operose;punishing;toilsome;straining;strenuous,,,,,托福雅思词汇
copious,adjective,/ˈkəʊpiəs/,数量众多（尤指话语）——立法中大量涉及的主题,,voluminous;ample;plenteous;plentiful;rich,,,,,托福雅思词汇
devious,adjective,/ˈdiːviəs/,间接偏离公认或正确的方式,misleading,oblique;shifty;circuitous;roundabout,,,,,托福雅思词汇
fine,adjective,faɪn,以优雅、精致或成就为特征,fine wine,all right;o.k.;ok;okay;hunky-dory,coarse,,,,托福雅思词汇
fine,adjective,faɪn,质地光滑或由相对较小颗粒组成的物质。,wood with a fine grain,all right;o.k.;ok;okay;hunky-dory,coarse,,,,托福雅思词汇
fundamental,adjective,/fʌndəˈmɛnt(ə)l/,本质的或涉及基本事实或原则的,the fundamental laws of the universe,cardinal;central;key;primal;rudimentary;underlying;profound,,,,,托福雅思词汇
fundamental,adjective,/fʌndəˈmɛnt(ə)l/,深远而彻底的影响，尤其对事物的本质。,the fundamental revolution in human values that has occurred,cardinal;central;key;primal;rudimentary;underlying;profound,,,,,托福雅思词汇
haphazard,adjective,/hæpˈhæzəd/,极其粗心大意,a most haphazard system of record keeping,hit-or-miss;slapdash;slipshod;sloppy,,,,,托福雅思词汇
harsh,adjective,hɑːʃ,刺耳难忍,the harsh cry of a blue jay,coarse,fine,,,,托福雅思词汇
hasty,adjective,/ˈheɪsti/,仓促行事，未经深思熟虑,hasty marriage seldom proveth well- Shakespeare,headlong;overhasty;precipitate;precipitant;precipitous,,,,,托福雅思词汇
hollow,adjective,/ˈhɒləʊ/,不牢固,having a space or gap or cavity,empty;vacuous,solid,,,,托福雅思词汇
