word,part_of_speech,phonetic,definition,example,synonyms,antonyms,usage_notes,audio_url,image_url,level
abnormal,adjective,/æbˈnɔːməl/,不正常,not typical or usual or regular or conforming to a norm,unnatural,normal,,,,六级词汇
abrupt,adjective,əˈbrʌpt,极其陡峭,an abrupt canyon,disconnected;precipitous;sharp,,,,,六级词汇
absurd,adjective,/əbˈsɜːd/,荒谬到引人嘲笑,the absurd excuse that the dog ate his homework,cockeyed;derisory;idiotic;laughable;ludicrous;nonsensical;preposterous;ridiculous,,,,,六级词汇
adjacent,adjective,/əˈdʒeɪsənt/,空间或位置上最接近,immediately adjoining without intervening space,next;side by side;conterminous;contiguous;neighboring,,,,,六级词汇
adjacent,adjective,/əˈdʒeɪsənt/,有共同边界或边缘,abutting,next;side by side;conterminous;contiguous;neighboring,,,,,六级词汇
adolescent,adjective,/ˌædəˈlɛsənt/,显得或暗示不够成熟,adolescent insecurity,teen;teenage;teenaged;jejune;juvenile;puerile,,,,,六级词汇
aesthetic,adjective,iːsˈθɛtɪk,关于或具有对美或良好品味的欣赏,the aesthetic faculties,esthetic;artistic,inaesthetic,,,,六级词汇
alternate,adjective,/ˈɔːltəneɪt/,,of leaves and branches etc,alternative;substitute;alternating,opposite,,,,六级词汇
ambiguous,adjective,/æmˈbɪɡjuəs/,,having no intrinsic or objective meaning,equivocal,unequivocal;unambiguous,,,,六级词汇
ardent,adjective,/ˈɑːd(ə)nt/,充满强烈情感,ardent love,fervent;fervid;fiery;impassioned;perfervid;torrid;warm,,,,,六级词汇
assorted,adjective,/əˈsɔːtɪd/,由各种不同种类随意混杂而成,an arrangement of assorted spring flowers,miscellaneous;mixed;motley;sundry;various,,,,,六级词汇
assorted,adjective,/əˈsɔːtɪd/,种类繁多，刻意安排却毫无统一性。,assorted sizes,miscellaneous;mixed;motley;sundry;various,,,,,六级词汇
barren,adjective,/ˈbærən/,完全缺乏,writing barren of insight,bare;bleak;desolate;stark;destitute;devoid;free;innocent,,,,,六级词汇
bizarre,adjective,/bɪˈzɑː/,明显或极其不合常规或异常,"restaurants of bizarre design--one like a hat, another like a rabbit",eccentric;freakish;freaky;flaky;flakey;gonzo;off-the-wall;outlandish;outre,,,,,六级词汇
bluff,adjective,blʌf,非常陡峭,having a prominent and almost vertical front,bold;sheer,,,,,六级词汇
blunt,adjective,blʌnt,直率,without subtlety or evasion,candid;forthright;frank;free-spoken;outspoken;plainspoken;point-blank;straight-from-the-shoulder;crude;stark,,,,,六级词汇
captive,adjective,/ˈkæptɪv/,全神贯注的,that engrossed look or rapt delight,confined;imprisoned;jailed;absorbed;engrossed;enwrapped;intent;wrapped,,,,,六级词汇
cardinal,adjective,/ˈkɑːdɪnəl/,作为关键组成部分,a cardinal rule,central;fundamental;key;primal,ordinal,,,,六级词汇
chronic,adjective,/ˈkrɒnɪk/,,being long-lasting and recurrent or characterized by long suffering,continuing;inveterate,acute,,,,六级词汇
conducive,adjective,/kənˈdjuːsɪv/,倾向于导致,being partly responsible for,contributing;contributive;contributory;tributary,,,,,六级词汇
cosmopolitan,adjective,/ˌkɒzməˈpɒlɪtən/,由来自世界各地或熟悉各地的人组成,especially not provincial in attitudes or interests,ecumenical;oecumenical;general;universal;worldwide;world-wide,endemic;provincial,,,,六级词汇
counterfeit,adjective,/ˈkaʊntəfɪt/,不真实,imitating something superior,imitative,genuine,,,,六级词汇
crisp,adjective,krɪsp,简明扼要,effectively cut short,sharp;crispy;frosty;nipping;nippy;snappy;frizzly;frizzy;kinky;nappy;curt;laconic;terse,,,,,六级词汇
crisp,adjective,krɪsp,清爽宜人,crisp clear nights and frosty mornings,sharp;crispy;frosty;nipping;nippy;snappy;frizzly;frizzy;kinky;nappy;curt;laconic;terse,,,,,六级词汇
crude,adjective,/kruːd/,俗不可耐,coarse language,unrefined;unprocessed,refined,,,,六级词汇
crude,adjective,/kruːd/,属于技术发展的早期阶段,characterized by simplicity and (often) crudeness,unrefined;unprocessed,refined,,,,六级词汇
cunning,adjective,/ˈkʌnɪŋ/,小巧、精致或别致而引人注目,a cute kid with pigtails,cute;crafty;dodgy;foxy;guileful;knavish;slick;sly;tricksy;tricky;wily;clever;ingenious,,,,,六级词汇
divine,adjective,/daɪˈvaɪn/,卓越非凡，宛若神启,her pies were simply divine,godly;providential;godlike;elysian;inspired,,,,,六级词汇
divine,adjective,/daɪˈvaɪn/,神性或具有神性,the custom of killing the divine king upon any serious failure of his...powers-J.G.Frazier,godly;providential;godlike;elysian;inspired,,,,,六级词汇
eminent,adjective,/ˈɛmɪnənt/,巍峨耸立,especially standing out above others,high;lofty;soaring;towering,,,,,六级词汇
empirical,adjective,/ɪmˈpɪrɪkəl/,源于实验和观察而非理论,an empirical basis for an ethical theory,empiric,theoretical,,,,六级词汇
epic,adjective,/ˈɛpɪk/,气势磅礴,surpassing the ordinary (especially in size or scale),epical,,,,,六级词汇
erect,adjective,ɪˈrɛkt,直立的,an erect stature,tumid,unerect,,,,六级词汇
extinct,adjective,/ɪkˈstɪŋkt/,不复存在,lost or especially having died out leaving no living representatives,out,extant;active,,,,六级词汇
formidable,adjective,/ˈfɔːmɪdəbl/,力大无穷，出类拔萃,a formidable opponent,redoubtable;unnerving,,,,,六级词汇
foster,adjective,/ˈfɒstə/,提供或接受养育或父母般的关怀，虽无血缘或法律关系。,foster parent,surrogate,,,,,六级词汇
frantic,adjective,/ˈfræntɪk/,过度激动,distraught with fear or other violent emotion,frenetic;phrenetic;frenzied;delirious;excited;mad;unrestrained,,,,,六级词汇
futile,adjective,/ˈfjuːtaɪl/,没有产生任何结果或效果,a futile effort,ineffectual;otiose;unavailing;bootless;fruitless;sleeveless;vain,,,,,六级词汇
grim,adjective,ɡɹɪm,无法安抚或劝解，恳求也无法打动,grim determination,inexorable;relentless;stern;unappeasable;unforgiving;unrelenting;ghastly;grisly;gruesome;macabre;sick;black;mordant;dour;forbidding;gloomy;blue;depressed;dispirited;down;downcast;downhearted;down in the mouth;low;low-spirited;dark;dingy;disconsolate;dismal;sorry;drab;drear;dreary,,,,,六级词汇
hardy,adjective,/ˈhɑːdi/,拥有强健的体魄,inured to fatigue or hardships,stalwart;stout;sturdy;audacious;brave;dauntless;fearless;intrepid;unfearing,,,,,六级词汇
indignant,adjective,/ɪnˈdɪɡnənt/,义愤填膺,an indignant denial,incensed;outraged;umbrageous,,,,,六级词汇
integral,adjective,/ˈɪntɪɡrəl/,构成完整无损的整体,lacking nothing essential especially not damaged,built-in;constitutional;inbuilt;inherent;entire;intact,,,,,六级词汇
lavish,adjective,/ˈlævɪʃ/,非常慷慨,distributed gifts with a lavish hand,munificent;overgenerous;too-generous;unsparing;unstinted;unstinting;lucullan;lush;plush;plushy,,,,,六级词汇
lenient,adjective,/ˈliːniənt/,不严格,an easy teacher,indulgent;soft,,,,,六级词汇
nominal,adjective,/ˈnɒmɪnəl/,微不足道,a matter of form only (`tokenish' is informal),token;tokenish;nominative;titular,real,,,,六级词汇
noteworthy,adjective,/ˈnəʊtˌwɜːði/,值得关注，因其有趣、重要或不寻常。,a noteworthy fact is that her students rarely complain,notable;remarkable,,,,,六级词汇
obscure,adjective,/əbˈskjʊə/,表达不清或理解不明,an obscure turn of phrase,vague;dark;hidden;unknown;unsung;unnoticeable;apart;isolated,,,,,六级词汇
overt,adjective,/əʊˈvɜːt/,开放与可观测,not secret or hidden,open,covert,,,,六级词汇
potent,adjective,/ˈpəʊt(ə)nt/,具有强烈的生理或化学作用,a potent toxin,strong;stiff;virile,impotent,,,,六级词汇
random,adjective,/ˈrændəm/,漫无目的,governed by or depending on chance,,nonrandom,,,,六级词汇
reciprocal,adjective,/rɪˈsɪprəkəl/,关于两个或更多人或事物中的每一个,especially given or done in return,mutual,nonreciprocal,,,,六级词汇
rigid,adjective,/ˈrɪdʒɪd/,无法弯曲或难以弯曲,a rigid strip of metal,stiff;strict;inflexible;unbending;fixed;set,nonrigid,,,,六级词汇
serial,adjective,/ˈsɪə.ri.əl/,关于或发生在或产生一系列,serial monogamy,consecutive;sequent;sequential;successive;in series;nonparallel,,,,,六级词汇
sturdy,adjective,/ˈstɜːdi/,实质制造或构建,sturdy steel shelves,uncompromising;inflexible,compromising,,,,六级词汇
temporal,adjective,/ˈtɛmp(ə)rəl/,与时间有关的或受时间限制的,temporal processing,worldly;secular,unworldly,,,,六级词汇
thermal,adjective,/ˈθɜːməl/,与热有关的,thermal movements of molecules,thermic;caloric,nonthermal,,,,六级词汇
versatile,adjective,/ˈvɜːsətaɪl/,,able to move freely in all directions,various,,,,,六级词汇
aloft,adverb,əˈlɒft,在地球的高层大气中,weather conditions aloft are fine,,,,,,六级词汇
aloft,adverb,əˈlɒft,高耸入云,high up in or into the air,,,,,,六级词汇
aloft,adverb,əˈlɒft,向上,the good news sent her spirits aloft,,,,,,六级词汇
aloft,adverb,əˈlɒft,在船桅或上层索具上,climbed aloft to unfurl the sail,,,,,,六级词汇
astray,adverb,/əˈstreɪ/,偏离正轨或方向,he was led astray,wide,,,,,六级词汇
consecutive,adverb,/kənˈsɛkjʊtɪv/,连续地,we numbered the papers consecutively,sequentially,,sequentially,,,六级词汇
flush,adverb,flʌʃ,稳稳地,hit him flush in the face,,,,,,六级词汇
flush,adverb,flʌʃ,在同一平面内,set it flush with the top of the table,,,,,,六级词汇
henceforth,adverb,/hɛnsˈfɔːθ/,从今往后,from now on,henceforward,,henceforward,,,六级词汇
stark,adverb,/stɑːk/,完全,stark mad,,,,,,六级词汇
zigzag,adverb,/ˈzɪɡzæɡ/,曲折行进或蜿蜒路径,birds flew zigzag across the blue sky,,,,,,六级词汇
abbreviation,noun,əˌbriːviˈeɪʃən,省略部分内容以缩短,,,,shortening | hypernyms:form;shortening | hyponyms:apocope,,,六级词汇
abbreviation,noun,əˌbriːviˈeɪʃən,缩写,,,,shortening | hypernyms:form;shortening | hyponyms:apocope,,,六级词汇
abort,noun,/əˈbɔːt/,在项目或程序完成前终止的行为；我浪费了一年时间在一个半途而废的项目上；他因该地区强风发送了一条简短信息请求中止。,,,,hypernyms:termination,,,六级词汇
absurd,noun,/əbˈsɜːd/,生活显得荒谬而无意义的境况；荒谬是核心概念与首要真理——阿尔贝·加缪,,the absurd,,hypernyms:situation,,,六级词汇
accessory,noun,əkˈsɛsəri,提升能力的补充组件,,accoutrement;accouterment;appurtenance;supplement;add-on;accessary,,component | criminal | auto accessory;computer accessory;fitting;fixings | abettor;accessory after the fact;accessory before the fact;accessory during the fact;confederate | hypernyms:clothing;component;criminal | hyponyms:belt;furnishing;auto accessory;computer accessory;fitting;fixings;abettor;accessory after the fact;accessory before the fact;accessory during the fact;confederate,,,六级词汇
accessory,noun,əkˈsɛsəri,配饰,,accoutrement;accouterment;appurtenance;supplement;add-on;accessary,,component | criminal | auto accessory;computer accessory;fitting;fixings | abettor;accessory after the fact;accessory before the fact;accessory during the fact;confederate | hypernyms:clothing;component;criminal | hyponyms:belt;furnishing;auto accessory;computer accessory;fitting;fixings;abettor;accessory after the fact;accessory before the fact;accessory during the fact;confederate,,,六级词汇
accessory,noun,əkˈsɛsəri,协助他人犯罪者,,accoutrement;accouterment;appurtenance;supplement;add-on;accessary,,component | criminal | auto accessory;computer accessory;fitting;fixings | abettor;accessory after the fact;accessory before the fact;accessory during the fact;confederate | hypernyms:clothing;component;criminal | hyponyms:belt;furnishing;auto accessory;computer accessory;fitting;fixings;abettor;accessory after the fact;accessory before the fact;accessory during the fact;confederate,,,六级词汇
acclaim,noun,/əˈkleɪm/,热情洋溢的赞誉；这本书获得了适度的好评；他接受了人群的喝彩；他们给予他的赞誉超出了他实际应得的。,,acclamation;plaudits;plaudit;eclat,,hypernyms:approval,,,六级词汇
acupuncture,noun,/ˈæk.jʊˌpʌŋk.tʃər/,通过将针尖插入皮肤特定穴位来治疗疼痛或疾病。,,stylostixis,,hypernyms:treatment,,,六级词汇
adolescent,noun,/ˌædəˈlɛsənt/,青少年,,stripling;teenager;teen,,hypernyms:juvenile | hyponyms:chebab;mod;pachuco;punk rocker;rocker;young buck,,,六级词汇
advent,noun,/ˈæd.vənt/,期待已久的到来（尤指重大事物）；计算机的诞生,,coming;Advent;Second Coming;Second Coming of Christ;Second Advent;Parousia,,season | hypernyms:arrival;season,,,六级词汇
adversary,noun,/ˈædvəsəri/,反对者,,antagonist;opponent;opposer;resister,agonist,hypernyms:person | hyponyms:dueler;enemy;luddite;withstander,,,六级词汇
aesthetic,noun,iːsˈθɛtɪk,（哲学）关于何为美的哲学理论；他鄙视极简主义的审美观。,,esthetic,,hypernyms:philosophical doctrine,,,六级词汇
affiliate,noun,əˈfɪliˌeɪt,附属机构或隶属于另一组织的下级组织；网络附属机构,,,,organization | hypernyms:associate;organization,,,六级词汇
affiliate,noun,əˈfɪliˌeɪt,下属或附属伙伴；与另一人或组织有关联的人,,,,organization | hypernyms:associate;organization,,,六级词汇
affix,noun,/əˈfɪks/,附加于单词以产生屈折或派生形式的语言元素,,,,hypernyms:bound morpheme | hyponyms:infix;prefix;suffix,,,六级词汇
aftermath,noun,/ˈɑːftərmæθ/,事件的后果（尤指灾难性事件）；战争的余波；事故发生后，无人知晓有多少人受伤。,,wake;backwash;consequence,,result | hypernyms:consequence;result | hyponyms:corollary;deserts;fruit;sequella;train;wages,,,六级词汇
aggregate,noun,/ˈæɡrɪɡət/,多种异质事物的总和,,sum;total;totality;congeries;conglomeration,,material | sum | hypernyms:whole;material;sum,,,六级词汇
aggregate,noun,/ˈæɡrɪɡət/,骨料，如沙或砾石，与水泥和水混合制成混凝土、砂浆或灰泥。,,sum;total;totality;congeries;conglomeration,,material | sum | hypernyms:whole;material;sum,,,六级词汇
agony,noun,/ˈæɡəni/,强烈的痛苦感；剧烈的精神或身体疼痛；疑虑的折磨；受诅咒者的苦难。,,torment;torture;suffering;excruciation,,pain | hypernyms:suffering;pain | hyponyms:passion;throe,,,六级词汇
agony,noun,/ˈæɡəni/,剧痛状态,,torment;torture;suffering;excruciation,,pain | hypernyms:suffering;pain | hyponyms:passion;throe,,,六级词汇
aide,noun,/eɪd/,担任助理角色的人,,adjutant;aide-de-camp;auxiliary,,assistant | nursing aide | hypernyms:military officer;assistant | hyponyms:adjutant general;nursing aide,,,六级词汇
ale,noun,/eɪl/,一种使用上层发酵酵母酿造的啤酒的统称；在美国某些州，法律规定艾尔啤酒的酒精度需超过4%。,,,,hypernyms:beer | hyponyms:bitter;burton;pale ale;porter;stout;weissbier,,,六级词汇
alloy,noun,/ˈælɔɪ/,合金是由两种或多种金属元素，或金属与非金属元素熔合而成的混合物；黄铜即为锌与铜的合金。,,metal;admixture,,impurity | hypernyms:mixture;impurity | hyponyms:18-karat gold;22-karat gold;alnico;amalgam;babbitt metal;britannia metal;carboloy;cheoplastic metal;copper-base alloy;dental gold;duralumin;electrum;fusible metal;heavy metal;inconel;invar;nickel-base alloy;nickel silver;oroide;pewter;pinchbeck;pot metal;pyrophoric alloy;shot metal;solder;steel;stellite;sterling silver;tombac;type metal;white gold;white metal;wood's metal,,,六级词汇
allure,noun,əˈlʊə,魅力诱惑之力,,allurement;temptingness,,hypernyms:attraction | hyponyms:invitation,,,六级词汇
ammunition,noun,/ˌæmjʊˈnɪʃən/,从枪中发射的弹丸,,ammo,,material | information | hypernyms:weaponry;material;information | hyponyms:belt;cartridge;case shot;powder and shot;round;shell;tracer,,,六级词汇
ammunition,noun,/ˌæmjʊˈnɪʃən/,可用于攻击或辩护某一主张、论点或观点的信息；他的供词为批评者提供了弹药。,,ammo,,material | information | hypernyms:weaponry;material;information | hyponyms:belt;cartridge;case shot;powder and shot;round;shell;tracer,,,六级词汇
ammunition,noun,/ˌæmjʊˈnɪʃən/,可用于大规模杀伤性武器的核、化学或生物材料,,ammo,,material | information | hypernyms:weaponry;material;information | hyponyms:belt;cartridge;case shot;powder and shot;round;shell;tracer,,,六级词汇
analogue,noun,/ˈænəlɒɡ/,具有与某物类似性质的某物,,analog;parallel,,hypernyms:similarity | hyponyms:echo,,,六级词汇
analogy,noun,/əˈnælədʒi/,通过类比来展示某些方面的相似性；计算机的运行与大脑的工作方式呈现出一个有趣的类比；这些模型通过类比展示了物质是如何构建的。,,doctrine of analogy,apophatism,comparison | religion | hypernyms:inference;comparison;religion,,,六级词汇
analogy,noun,/əˈnælədʒi/,若事物在某些方面一致，则它们很可能在其他方面也一致。,,doctrine of analogy,apophatism,comparison | religion | hypernyms:inference;comparison;religion,,,六级词汇
anecdote,noun,/ˈænɪkdəʊt/,轶事（尤指传记中的）,,,,hypernyms:report,,,六级词汇
anguish,noun,/ˈæŋɡwɪʃ/,极度精神痛苦,,torment;torture,,distress | hypernyms:distress,,,六级词汇
anguish,noun,/ˈæŋɡwɪʃ/,身心极度痛苦,,torment;torture,,distress | hypernyms:distress,,,六级词汇
annex,noun,/əˈnɛks/,主建筑的扩建部分,,annexe;extension;wing,,hypernyms:addition | hyponyms:ell,,,六级词汇
antagonism,noun,/ænˈtæɡənɪzəm/,（生物化学）通过结构相似的另一种化学物质干扰或抑制某化学物质的生理作用,,hostility;enmity,,opposition | dislike;hostility | hindrance | hypernyms:state;opposition;dislike;hostility;hindrance | hyponyms:cold war;latent hostility;suspicion;war,,,六级词汇
antagonism,noun,/ænˈtæɡənɪzəm/,积极表达出的厌恶与敌意,,hostility;enmity,,opposition | dislike;hostility | hindrance | hypernyms:state;opposition;dislike;hostility;hindrance | hyponyms:cold war;latent hostility;suspicion;war,,,六级词汇
antagonism,noun,/ænˈtæɡənɪzəm/,对立原则、力量或因素之间的关系；资本主义与社会主义的内在对抗性。,,hostility;enmity,,opposition | dislike;hostility | hindrance | hypernyms:state;opposition;dislike;hostility;hindrance | hyponyms:cold war;latent hostility;suspicion;war,,,六级词汇
antenna,noun,/ænˈtɛnə/,触角,,aerial;transmitting aerial;feeler,,sensitivity | tentacle | hypernyms:electrical device;sensitivity;tentacle | hyponyms:dipole;directional antenna;omnidirectional antenna,,,六级词汇
antenna,noun,/ænˈtɛnə/,发送或接收无线电或电视信号的电子设备,,aerial;transmitting aerial;feeler,,sensitivity | tentacle | hypernyms:electrical device;sensitivity;tentacle | hyponyms:dipole;directional antenna;omnidirectional antenna,,,六级词汇
antenna,noun,/ænˈtɛnə/,对公共关系的敏感度堪比感受器官；他在这方面有着特殊的天赋。,,aerial;transmitting aerial;feeler,,sensitivity | tentacle | hypernyms:electrical device;sensitivity;tentacle | hyponyms:dipole;directional antenna;omnidirectional antenna,,,六级词汇
